Species,Year,Population
S,2116,10547.543918985255
S,2117,10547.558705189744
S,2118,10547.553710852575
S,2119,10547.566346513813
S,2120,10547.514179820826
S,2121,10547.50990104494
S,2122,10547.493475929641
S,2123,10547.390978355103
S,2125,10547.988717358245
Su,2025,50.01135846482251
Su,2026,140.04208931277884
Su,2027,218.5290606542641
Su,2028,287.64978480780275
Su,2029,348.72149583978364
Su,2030,402.74114672671584
Su,2031,450.3407493622804
Su,2032,492.1701628922673
Su,2033,529.7837671362574
Su,2034,562.171778035746
Su,2035,590.8811045562696
Su,2036,616.1138014502866
Su,2037,638.4103783433245
Su,2038,657.8713124858862
Su,2039,674.8496787458197
Su,2040,690.0261880825929
Su,2041,703.4474401635497
Su,2042,715.9827659671178
Su,2043,726.3327360506676
Su,2044,735.2136228137786
Su,2045,742.9940505232978
